config_a,config_b,metric,n,mean_a,mean_b,delta_mean,delta_ci95_low,delta_ci95_high,delta_ci95_half_width,paired_t,wins_b,wins_a,ties,paired_keys
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=20",finetuned_decoder_rmse_mean,5,72.534552,73.88308563,1.34853363,-0.8073823189,3.50444958,2.155915949,1.736676979,4,1,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",mean_val_zeta,5,0.4934979796,0.0402286917,-0.4532692879,-0.4652633961,-0.4412751797,0.01199410818,-104.9246244,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",embedding_val_zeta,5,0.4506115456,0.1785277337,-0.272083812,-0.2832259546,-0.2609416693,0.01114214265,-67.79896756,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",embedding_whole_val_regularization_raw,5,0.2517406,0.002475,-0.2492656,-0.2758119351,-0.2227192649,0.0265463351,-26.07035029,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",frozen_decoder_r2_mean,5,0.8921122074,0.6069761515,-0.2851360559,-0.2996346439,-0.270637468,0.01449858795,-54.60287649,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",frozen_decoder_rmse_mean,5,78.75356445,150.8091675,72.05560303,69.50684196,74.6043641,2.548761069,78.4924208,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",finetuned_decoder_r2_mean,5,0.9085499406,0.896357131,-0.01219280958,-0.01439589785,-0.009989721309,0.002203088273,-15.36600548,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=40",finetuned_decoder_rmse_mean,5,72.534552,77.29867706,4.764125061,3.929354027,5.598896095,0.8347710338,15.84546082,5,0,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",mean_val_zeta,5,0.4934979796,0.2540967643,-0.2394012153,-0.2757848245,-0.2030176061,0.03638360922,-18.26878495,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",embedding_val_zeta,5,0.4506115456,0.4435951299,-0.007016415728,-0.02600742699,0.01197459553,0.01899101126,-1.025784927,2,3,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",embedding_whole_val_regularization_raw,5,0.2517406,0.0067114,-0.2450292,-0.2716843416,-0.2183740584,0.02665514158,-25.52266027,0,5,0,0;1;2;3;4
"lambda_start_frac=1,lambda_block_cca=0.5","lambda_start_frac=1,lambda_block_cca=5",frozen_decoder_r2_mean,5,0.8921122074,0.8851383567,-0.006973850727,-0.01126836934,-0.00267933211,0.004294518618,-4.508657533,0,5,0,0;1;2;3;4
