embedding_dim,feature_layer,model,metric,n,mean,ci95_low,ci95_high,ci95_half_width
1024,hidden,frozen_mlp,corr_x,5,0.9538653535005128,0.9530775583905243,0.9546531486105013,0.000787795109988479
1024,hidden,frozen_mlp,corr_y,5,0.933826604845773,0.9330164834836722,0.9346367262078737,0.0008101213621008167
1024,hidden,frozen_mlp,mse_x,5,5869.930859375,5777.070863465187,5962.790855284813,92.8599959098131
1024,hidden,frozen_mlp,mse_y,5,6755.6822265625,6664.618632544227,6846.7458205807725,91.06359401827328
1024,hidden,frozen_mlp,r2_mean,5,0.8905592441558838,0.889022113403683,0.8920963749080847,0.0015371307522008472
1024,hidden,frozen_mlp,r2_x,5,0.9094613671302796,0.9080290693327296,0.9108936649278295,0.0014322977975498939
1024,hidden,frozen_mlp,r2_y,5,0.8716571211814881,0.8699271192811865,0.8733871230817897,0.001730001900301598
1024,hidden,frozen_mlp,rmse_mean,5,79.45284729003906,78.88930425529908,80.01639032477904,0.5635430347399827
1024,hidden,frozen_mlp,rmse_x,5,76.61422424316406,76.00720157336714,77.22124691296098,0.6070226697969121
1024,hidden,frozen_mlp,rmse_y,5,82.19198455810547,81.63717569730575,82.7467934189052,0.554808860799721
1024,output,finetuned_mlp,best_val_mse_z,5,0.0943201333284378,0.09375168376206852,0.09488858289480709,0.0005684495663692855
1024,output,finetuned_mlp,corr_x,5,0.9589660107165203,0.9586871274854128,0.9592448939476278,0.00027888323110742986
1024,output,finetuned_mlp,corr_y,5,0.9444127634573937,0.9437180044581936,0.9451075224565937,0.000694758999200041
1024,output,finetuned_mlp,mse_x,5,5248.88857421875,5175.808153306796,5321.968995130705,73.08042091195438
1024,output,finetuned_mlp,mse_y,5,5724.5560546875,5655.392707622955,5793.719401752046,69.16334706454525
1024,output,finetuned_mlp,r2_mean,5,0.9051432967185974,0.9045667511185461,0.9057198423186487,0.0005765456000512374
1024,output,finetuned_mlp,r2_x,5,0.9190404176712036,0.9179132276612217,0.9201676076811854,0.0011271900099818226
1024,output,finetuned_mlp,r2_y,5,0.891246223449707,0.8899322572207067,0.8925601896787074,0.001313966229000364
1024,output,finetuned_mlp,rmse_mean,5,74.07342224121093,73.84852256744712,74.29832191497475,0.22489967376382022
1024,output,finetuned_mlp,rmse_x,5,72.44830474853515,71.94475795904636,72.95185153802394,0.5035467894887904
1024,output,finetuned_mlp,rmse_y,5,75.66007995605469,75.20313772222477,76.11702218988461,0.45694223382991606
1024,output,frozen_mlp,best_val_mse_z,5,0.11876278072595596,0.1177077044792028,0.11981785697270912,0.0010550762467531679
1024,output,frozen_mlp,corr_x,5,0.9484183935176163,0.9479273209610477,0.9489094660741848,0.0004910725565685626
1024,output,frozen_mlp,corr_y,5,0.9291057625257413,0.9284787969911092,0.9297327280603733,0.0006269655346319945
1024,output,frozen_mlp,mse_x,5,6586.7138671875,6478.749424406792,6694.678309968208,107.96444278070831
1024,output,frozen_mlp,mse_y,5,7231.28115234375,7143.611239515291,7318.951065172209,87.66991282845936
